"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 26 14:46:07 MSK 2024","Sun May 26 14:46:07 MSK 2024","281","","Graphic Editor Tests","","","","should upload a PNG file successfully",""
"passed","Sun May 26 14:46:09 MSK 2024","Sun May 26 14:46:10 MSK 2024","444","","Graphic Editor Tests","","","","should select and manipulate layers",""
"passed","Sun May 26 14:51:08 MSK 2024","Sun May 26 14:51:09 MSK 2024","974","","Animation Editor Tests","","","","should set valid and invalid input values and check for error class",""
"passed","Sun May 26 14:51:11 MSK 2024","Sun May 26 14:51:12 MSK 2024","1509","","Animation Editor Tests","","","","should show an error message for invalid input",""
"passed","Sun May 26 14:51:06 MSK 2024","Sun May 26 14:51:08 MSK 2024","1862","","Animation Editor Tests","","","","should draw a shape on the canvas",""
"passed","Sun May 26 14:46:12 MSK 2024","Sun May 26 14:46:13 MSK 2024","1650","","Graphic Editor Tests","","","","should show an error message for invalid input",""
"passed","Sun May 26 14:51:09 MSK 2024","Sun May 26 14:51:11 MSK 2024","1598","","Animation Editor Tests","","","","should save and clear the canvas",""
"passed","Sun May 26 14:46:07 MSK 2024","Sun May 26 14:46:09 MSK 2024","1947","","Graphic Editor Tests","","","","should interact with color picker and thickness",""
"passed","Sun May 26 14:51:06 MSK 2024","Sun May 26 14:51:06 MSK 2024","235","","Animation Editor Tests","","","","should interact with thickness",""
"passed","Sun May 26 14:46:10 MSK 2024","Sun May 26 14:46:12 MSK 2024","1842","","Graphic Editor Tests","","","","should save and clear the canvas",""
"passed","Sun May 26 14:46:07 MSK 2024","Sun May 26 14:46:07 MSK 2024","191","","Graphic Editor Tests","","","","should show alert when non-PNG file is uploaded",""
